timestamp,trial,response_time,cursor_position,target_response,response
2024-02-17 15:33:23.182979,6,0.5518236999632791,69,j,j
2024-02-17 15:33:23.301454,6,0.10265549999894574,70,a,a
2024-02-17 15:33:23.404180,6,0.07107710000127554,71,n,n
2024-02-17 15:33:23.592471,6,0.1605551000102423,72,space,space
2024-02-17 15:33:23.787543,6,0.17138519999571145,73,c,c
2024-02-17 15:33:23.874037,6,0.05833479994907975,74,h,h
2024-02-17 15:33:23.993851,6,0.0922792999772355,75,i,i
2024-02-17 15:33:24.192197,6,0.17659309995360672,76,l,l
2024-02-17 15:33:24.293905,6,0.07812040002318099,77,e,e
2024-02-17 15:33:24.412145,6,0.09674880001693964,78,space,space
2024-02-17 15:33:25.290640,6,0.8582338999840431,79,v,v
2024-02-17 15:33:25.443217,6,0.12664740002946928,80,e,e
2024-02-17 15:33:25.514714,6,0.04880980000598356,81,n,n
2024-02-17 15:33:25.624727,6,0.07213049998972565,82,e,e
2024-02-17 15:33:25.914454,6,0.2646812000311911,83,z,z
2024-02-17 15:33:26.169019,6,0.23701909999363124,84,u,u
2024-02-17 15:33:26.306079,6,0.10748740000417456,85,e,e
2024-02-17 15:33:26.422931,6,0.09080900001572445,86,l,l
2024-02-17 15:33:26.675836,6,0.2269409000291489,87,a,a
2024-02-17 15:33:26.786836,6,0.08734829997410998,88,space,space
2024-02-17 15:33:27.250513,6,0.43277849996229634,89,e,e
2024-02-17 15:33:27.393515,6,0.12720300001092255,90,c,c
2024-02-17 15:33:27.517549,6,0.10110979998717085,91,u,u
2024-02-17 15:33:27.597514,6,0.06355249998159707,92,a,a
2024-02-17 15:33:27.910944,6,0.27552409999771044,93,d,d
2024-02-17 15:33:27.988960,6,0.055251399986445904,94,o,a
2024-02-17 15:33:28.144426,6,0.10812560003250837,94,o,r
2024-02-17 15:33:28.358185,6,0.19197450001956895,94,o,o
2024-02-17 15:33:28.508622,6,0.1243924000300467,95,r,r
2024-02-17 15:33:28.650548,6,0.11753940000198781,96,space,space
2024-02-17 15:33:29.151991,6,0.4856506999931298,97,a,a
2024-02-17 15:33:29.298534,6,0.11439400003291667,98,r,r
2024-02-17 15:33:29.465532,6,0.14923619996989146,99,g,g
2024-02-17 15:33:29.549194,6,0.06553100002929568,100,e,e
2024-02-17 15:33:29.598213,6,0.012499900010880083,101,n,n
2024-02-17 15:33:29.936943,6,0.3191061000106856,102,t,t
2024-02-17 15:33:30.026598,6,0.060153800004627556,103,i,i
2024-02-17 15:33:30.109864,6,0.05727679998381063,104,n,n
2024-02-17 15:33:30.238244,6,0.10229360003722832,105,a,a
2024-02-17 15:33:30.357365,6,0.09084430005168542,106,space,space
2024-02-17 15:33:30.628356,6,0.24478050001198426,107,i,i
2024-02-17 15:33:30.747737,6,0.09724109998205677,108,c,c
2024-02-17 15:33:30.815768,6,0.048614899977110326,109,e,e
2024-02-17 15:33:30.953167,6,0.09968729998217896,110,l,n
2024-02-17 15:33:31.216302,6,0.23347680002916604,110,l,l
2024-02-17 15:33:31.298388,6,0.0646843999857083,111,a,a
2024-02-17 15:33:31.411284,6,0.07436849997611716,112,n,n
2024-02-17 15:33:31.474068,6,0.040596699982415885,113,d,d
2024-02-17 15:33:31.587944,6,0.0857448999886401,114,space,space
2024-02-17 15:33:31.793072,6,0.17623919999459758,115,p,p
2024-02-17 15:33:31.881957,6,0.0645469999872148,116,a,a
2024-02-17 15:33:31.976290,6,0.056743199995253235,117,r,r
2024-02-17 15:33:32.061331,6,0.06115740002132952,118,a,a
2024-02-17 15:33:32.469520,6,0.3696081000380218,119,g,g
2024-02-17 15:33:32.650081,6,0.16671599994879216,120,u,u
2024-02-17 15:33:32.766097,6,0.09869169996818528,121,a,a
2024-02-17 15:33:32.930101,6,0.14578149997396395,122,y,r
2024-02-17 15:33:33.136307,6,0.18594039999879897,122,y,y
2024-02-17 15:33:33.238799,6,0.07058210001559928,123,space,space
2024-02-17 15:33:33.849747,6,0.5814424999989569,124,b,b
2024-02-17 15:33:34.072050,6,0.20528250001370907,125,h,h
2024-02-17 15:33:34.290521,6,0.18736649997299537,126,u,u
2024-02-17 15:33:34.483640,6,0.16643179999664426,127,t,t
2024-02-17 15:33:34.649672,6,0.148873400001321,128,a,a
2024-02-17 15:33:34.733442,6,0.06589729996630922,129,n,n
2024-02-17 15:33:34.915761,6,0.14577780000399798,130,space,space
2024-02-17 15:33:35.345354,6,0.4110424999962561,131,h,h
2024-02-17 15:33:35.407298,6,0.039475099998526275,132,o,o
2024-02-17 15:33:35.505277,6,0.06690859998343512,133,n,n
2024-02-17 15:33:35.753319,6,0.21914959995774552,134,d,d
2024-02-17 15:33:35.998375,6,0.21353499998804182,135,u,u
2024-02-17 15:33:36.097380,6,0.07988020003540441,136,r,r
2024-02-17 15:33:36.206398,6,0.08821220003301278,137,a,a
2024-02-17 15:33:36.429205,6,0.19525690004229546,138,s,a
2024-02-17 15:33:36.542424,6,0.09100629994645715,138,s,s
2024-02-17 15:33:36.615817,6,0.04825379996327683,139,space,space
2024-02-17 15:33:37.188576,6,0.5353449999820441,140,r,r
2024-02-17 15:33:37.290018,6,0.0723483000183478,141,u,u
2024-02-17 15:33:37.361475,6,0.0422948999912478,142,s,s
2024-02-17 15:33:37.505511,6,0.11839870002586395,143,s,s
2024-02-17 15:33:37.606483,6,0.0727208000025712,144,i,i
2024-02-17 15:33:37.712532,6,0.07874969998374581,145,a,a
2024-02-17 15:33:38.108432,6,0.37430040002800524,146,space,lshift
2024-02-17 15:33:38.519554,6,0.38538779999362305,146,space,space
2024-02-17 15:33:39.047701,6,0.4910010000457987,147,u,u
2024-02-17 15:33:39.197014,6,0.12879380001686513,148,r,r
2024-02-17 15:33:39.312517,6,0.0936509000021033,149,u,u
2024-02-17 15:33:39.474950,6,0.14059150003595278,150,g,g
2024-02-17 15:33:39.789046,6,0.2870667999959551,151,u,u
2024-02-17 15:33:39.932569,6,0.11313409998547286,152,a,a
2024-02-17 15:33:40.363887,6,0.41209140000864863,153,y,y
2024-02-17 15:33:40.816859,6,0.43214250000892207,154,space,space
2024-02-17 15:33:41.894712,6,1.059379800048191,155,b,b
2024-02-17 15:33:42.221608,6,0.30229840002721176,156,r,u
2024-02-17 15:33:42.512666,6,0.2605156999779865,156,r,r
